point	23	4	2	7	9952.924495461195	15734.36484116293	252.25	10028	15851
point	22	4	0	7	10590.025472876241	27042.166773369237	672.0	10544	26692
point	21	4	0	7	19976.469345471738	7679.003854290221	132.0	18249	8155
point	20	4	1	7	15867.756873562614	14898.843432123067	504.5	15937	14751
point	18	5	1	7	8583.045575114957	18828.06312462353	504.5	8548	18096
point	17	5	0	7	11004.679841008145	13955.598807561088	672.0	11003	13943
point	16	5	4	7	13442.867041875279	19192.476650700126	63.0625	13437	19159
point	15	5	1	7	8700.370656067542	8567.952243590533	298.0	8894	8710
point	14	6	0	7	14715.965602888657	28448.334436501656	298.0	14736	28489
point	13	6	0	7	10898.444667673599	17623.956691244868	448.0	10777	17844
point	12	6	0	7	6895.002223793152	18208.951629605333	448.0	7149	18431
point	11	6	1	7	6548.465790620816	13510.900751645848	132.0	6097	13777
disappearpoint	10	5	0	7	16098.0	10834.0	0.0	16098	10834
point	9	7	0	7	16876.259000586757	10449.10198499211	132.0	16892	10441
point	8	7	2	7	4965.88712199	17043.527404297893	252.25	5004	16978
point	29	3	0	7	7234.7776911967685	19050.862122705454	298.0	7299	19011
point	19	5	5	7	10509.42285429645	17231.897190151278	31.53125	10504	17322
point	5	7	2	7	12611.803621448393	14474.848355342941	252.25	12612	14474
point	4	8	1	7	17983.579032686644	13425.83681437684	504.5	18100	13388
point	3	8	0	7	8822.364183942758	17447.65714092638	448.0	8752	17627
point	2	8	2	7	14675.41762487865	22560.524269518708	252.25000000000003	14711	22946
point	1	8	0	7	11621.208478873708	25143.20970238254	448.0	11426	25135
point	0	8	1	7	11780.335421910926	12879.224997969965	504.49999999999994	11396	13028
newpoint	35	1	1	7	13598.0	19932.0	298.0	13634	19792
newpoint	36	1	1	7	10104.0	13073.0	298.0	10277	12973
newpoint	37	1	0	7	13437.0	19159.0	672.0	13454	19256
newpoint	38	1	0	7	10914.0	6778.0	298.0	11313	6366
newpoint	39	1	0	7	12408.0	11200.0	298.0	12462	11208
point	39	2	0	8	12558.081960676465	11348.126909459435	298.0	12565	11496
point	38	2	0	8	11121.313467203774	6563.931958676804	298.0	11313	6366
point	37	2	0	8	13060.60007648157	19654.3956323994	672.0	12926	19852
point	36	2	1	8	10375.185089572766	13106.004811077959	504.5	10544	13292
point	35	2	1	8	13731.290769948553	19678.317583524236	298.0	13465	19572
point	33	3	0	8	11861.65536291765	12847.746311128652	1008.9999999999999	12016	12788
point	32	3	0	8	8655.413314268786	19091.19128642884	1009.0	8584	18848
point	31	3	0	8	12052.512378297079	28345.319095566865	298.0	12080	28356
point	30	3	0	8	10370.701393273317	21146.077577069012	447.99999999999994	10370	20956
point	28	4	0	8	11306.031371080157	27088.124035423953	298.0	11289	27061
point	27	4	1	8	12773.684526532754	25161.95903295979	448.0	12260	25158
point	26	4	0	8	11183.48584046883	27860.291629999003	297.99999999999994	10923	27825
point	25	4	1	8	11035.01042712421	25138.0	448.0	11051	25138
point	24	5	1	8	11157.617499161928	10778.22238907713	298.0	11321	10661
point	23	5	2	8	10072.760866534709	15955.334972385384	252.25	10090	16000
point	22	5	0	8	10502.542364467019	26375.885529061015	672.0	10496	26326
point	21	5	0	8	19849.21199310185	7714.069026010971	132.0	18249	8155
point	20	5	1	8	16064.229748343125	14434.360551115982	504.5	16070	14420
point	18	6	1	8	8558.921606735186	18324.140229579447	504.5	8548	18096
point	17	6	0	8	10681.132455888674	13409.04298782855	672.0	10544	13292
point	16	6	4	8	13429.559766323679	19130.89245055612	63.06250000000001	13410	19057
point	15	6	1	8	8920.666239815351	8761.342461734035	298.0	8961	8839
point	14	7	0	8	14847.8345961477	28715.569453415064	298.0	14925	28872
point	13	7	0	8	10569.632746947045	17889.68333043389	672.0	10254	17860
point	12	7	0	8	7210.3278596333475	18522.30599607595	448.0	7212	18525
point	11	7	1	8	6434.748983858564	13577.926775396305	132.0	6097	13777
point	34	3	0	8	7166.2086253627995	18451.225007528956	448.0	7212	18525
point	9	8	0	8	16988.383744119783	10379.56860264893	132.0	17074	10325
point	8	8	2	8	5083.0583401445965	16820.25800378732	252.25	5215	16557
point	29	4	0	8	7484.197903753299	19005.157313934305	448.0	7631	19221
point	19	6	5	8	10507.528567870564	17263.3714876891	31.53125	10504	17322
point	5	8	2	8	12665.708513811083	14228.425733875076	252.24999999999997	12692	14109
point	4	9	1	8	18416.59130128065	13174.086958594156	504.5	18840	12888
point	3	9	0	8	8524.41250491288	17792.26805610143	672.0	8450	17784
point	2	9	2	8	14698.603669012398	22811.706414300992	252.25000000000003	14711	22946
point	1	9	0	8	11194.042060030442	25135.37576091715	298.0	11126	25136
point	0	9	1	8	11307.764641614312	13055.340533584298	504.5	10544	13292
newpoint	40	1	0	8	14004.0	25954.0	298.0	13590	26176
newpoint	41	1	0	8	9420.0	14236.0	448.0	9563	14339
newpoint	42	1	2	8	18195.0	26322.0	252.25000000000003	17673	26569
newpoint	43	1	1	8	8600.0	12323.0	298.0	8872	12166
